"filename", "language", "Markdown", "JSON with Comments", "TypeScript", "YAML", "JSON", "SCSS", "HTML", "JavaScript", "vue", "comment", "blank", "total"
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\FUTURE_PLANS.md", "Markdown", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 34
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_ACHIEVEMENT.md", "Markdown", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 130
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_ADVENTURE.md", "Markdown", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 147
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_BARTER.md", "Markdown", 79, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28, 109
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_CHARACTER.md", "Markdown", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 150
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_DIARY.md", "Markdown", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 97
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_MAP.md", "Markdown", 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 174
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_POKEDEX_SPEC.md", "Markdown", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 69
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_QUEST.md", "Markdown", 338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 410
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_RUMOR.md", "Markdown", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 68
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_SHELTER.md", "Markdown", 411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 485
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_SIGNIN.md", "Markdown", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 199
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_SKILL.md", "Markdown", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 123
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\GamePlay\MODULE_DESIGN_WEATHER.md", "Markdown", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 108
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\HISTORY_SPEC.md", "Markdown", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 112
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\INDEX.md", "Markdown", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 128
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\MODULAR_INTEGRATION_SPEC.md", "Markdown", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 140
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\MODULE_INTERACTION_SPEC.md", "Markdown", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 76
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\Plugin\SECONDARY_LLM_API_SPEC.md", "Markdown", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 113
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\Plugin\SMART_CONTEXT_SPEC.md", "Markdown", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 175
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\SAVE_SYSTEM_SPEC.md", "Markdown", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 89
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\developer\DEVELOPER_CHEATSHEET.md", "Markdown", 368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 197, 565
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\old\RENDERING_SPEC.md", "Markdown", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 88
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\old\STATE_REFACTOR_ANALYSIS.md", "Markdown", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 91
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\old\SYSTEMS_SPEC.md", "Markdown", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 190
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\old\UI_FRAMEWORK_SPEC.md", "Markdown", 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 254
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\docs\old\VARIABLES_SPEC.md", "Markdown", 361, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 411
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\global.d.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 3, 23
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 2, 16
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\index.scss", "SCSS", 0, 0, 0, 0, 0, 1204, 0, 0, 0, 78, 213, 1495
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\index.ts", "TypeScript", 0, 0, 251, 0, 0, 0, 0, 0, 0, 32, 50, 333
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\modules\setup\data.ts", "TypeScript", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 15, 103
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\modules\smartContext\contextLinker.ts", "TypeScript", 0, 0, 118, 0, 0, 0, 0, 0, 0, 67, 32, 217
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\modules\smartContext\prompt.md", "Markdown", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 128
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\regex-状态栏v0_3_1.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 18
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\regex-隐藏发送的变量.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 18
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\save\玄幻修仙世界种田-存档-2025-08-21T09-08-29-960Z.json", "JSON", 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 158
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\app\appStore.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 20, 8, 63
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\app\generationStore.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 5, 6, 46
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\app\versionStore.ts", "TypeScript", 0, 0, 82, 0, 0, 0, 0, 0, 0, 4, 9, 95
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\core\characterStore.ts", "TypeScript", 0, 0, 128, 0, 0, 0, 0, 0, 0, 10, 18, 156
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\core\eventLogStore.ts", "TypeScript", 0, 0, 70, 0, 0, 0, 0, 0, 0, 30, 15, 115
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\core\itemStore.ts", "TypeScript", 0, 0, 131, 0, 0, 0, 0, 0, 0, 5, 24, 160
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\core\worldStore.ts", "TypeScript", 0, 0, 135, 0, 0, 0, 0, 0, 0, 17, 22, 174
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\modules\promptStore.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 0, 0, 8, 15, 78
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\modules\smartContextStore.ts", "TypeScript", 0, 0, 201, 0, 0, 0, 0, 0, 0, 42, 39, 282
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\achievementStore.ts", "TypeScript", 0, 0, 163, 0, 0, 0, 0, 0, 0, 15, 31, 209
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\adventureStore.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 7, 9, 53
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\barterStore.ts", "TypeScript", 0, 0, 192, 0, 0, 0, 0, 0, 0, 11, 40, 243
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\pokedexStore.ts", "TypeScript", 0, 0, 381, 0, 0, 0, 0, 0, 0, 27, 61, 469
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\questStore.ts", "TypeScript", 0, 0, 155, 0, 0, 0, 0, 0, 0, 5, 20, 180
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\relationsStore.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 6, 9, 55
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\shelterStore.ts", "TypeScript", 0, 0, 229, 0, 0, 0, 0, 0, 0, 21, 37, 287
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\signInStore.ts", "TypeScript", 0, 0, 160, 0, 0, 0, 0, 0, 0, 17, 34, 211
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\skillStore.ts", "TypeScript", 0, 0, 111, 0, 0, 0, 0, 0, 0, 20, 22, 153
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\timeStore.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 17, 6, 60
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\weatherStore.ts", "TypeScript", 0, 0, 267, 0, 0, 0, 0, 0, 0, 14, 33, 314
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\ui\actionStore.ts", "TypeScript", 0, 0, 131, 0, 0, 0, 0, 0, 0, 10, 19, 160
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\ui\debugStore.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 3, 6, 41
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\ui\detailsStore.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 5, 34
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\ui\historyStore.ts", "TypeScript", 0, 0, 134, 0, 0, 0, 0, 0, 0, 12, 19, 165
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\ui\mainMenuStore.ts", "TypeScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 3, 12, 87
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\ui\menuStore.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 6, 28
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\ui\settingsStore.ts", "TypeScript", 0, 0, 226, 0, 0, 0, 0, 0, 0, 30, 33, 289
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\ui\setupStore.ts", "TypeScript", 0, 0, 295, 0, 0, 0, 0, 0, 0, 13, 40, 348
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\ui\sidePanelStore.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 8, 35
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\ui\storyStore.ts", "TypeScript", 0, 0, 222, 0, 0, 0, 0, 0, 0, 24, 44, 290
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\ui\systemStore.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 3, 19
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\ui\teamStore.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 2, 7, 53
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\ui\themeStore.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 9, 6, 42
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\types.ts", "TypeScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 6, 8, 86
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\什么？我要在玄幻修仙世界种田？.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\角色介绍.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 48
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\项目总结和介绍.md", "Markdown", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 83
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-Vue版本\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 5, 37
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-Vue版本\components\CharacterStatus.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 7, 63
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-Vue版本\components\WorldInfo.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 5, 39
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-Vue版本\index.html", "HTML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-Vue版本\index.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 3, 13
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-Vue版本\stores\characterStore.ts", "TypeScript", 0, 0, 126, 0, 0, 0, 0, 0, 0, 19, 16, 161
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-Vue版本\stores\worldStore.ts", "TypeScript", 0, 0, 105, 0, 0, 0, 0, 0, 0, 5, 12, 122
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-第一条消息\FirstMes.html", "HTML", 0, 0, 0, 0, 0, 0, 283, 0, 0, 39, 22, 344
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-第一条消息\FirstMes.scss", "SCSS", 0, 0, 0, 0, 0, 219, 0, 0, 0, 12, 36, 267
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-第一条消息\FirstMes.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 4, 21
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-第一条消息\Test.html", "HTML", 0, 0, 0, 0, 0, 0, 818, 0, 0, 29, 111, 958
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-第一条消息\core\chat.ts", "TypeScript", 0, 0, 117, 0, 0, 0, 0, 0, 0, 10, 13, 140
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-第一条消息\core\main.ts", "TypeScript", 0, 0, 285, 0, 0, 0, 0, 0, 0, 25, 41, 351
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-第一条消息\data\constants.ts", "TypeScript", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 14, 92
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-第一条消息\models\types.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 4, 25
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-第一条消息\regex-第一条消息正则v0_3_1.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 18
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-第一条消息\ui\characterName.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 9, 49
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-第一条消息\ui\renderer.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 1, 4, 54
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-第一条消息\ui\tabs.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-第一条消息\ui\versionChecker.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 3, 6, 36
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\Test.json", "JSON", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 1, 94
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\Test.yaml", "YAML", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\index.html", "HTML", 0, 0, 0, 0, 0, 0, 296, 0, 0, 67, 36, 399
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\index.scss", "SCSS", 0, 0, 0, 0, 0, 475, 0, 0, 0, 34, 83, 592
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\index.ts", "TypeScript", 0, 0, 1837, 0, 0, 0, 0, 0, 0, 47, 258, 2142
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\parser.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 9, 10, 47
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\pokedex-data.json", "JSON", 0, 0, 0, 0, 338, 0, 0, 0, 0, 0, 1, 339
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\pokedex.ts", "TypeScript", 0, 0, 222, 0, 0, 0, 0, 0, 0, 78, 47, 347
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\prompts.md", "Markdown", 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 279
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\regex-状态栏v0_3_1.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 18
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\regex-隐藏发送的变量.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 18
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\systems.ts", "TypeScript", 0, 0, 292, 0, 0, 0, 0, 0, 0, 28, 33, 353
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\test.html", "HTML", 0, 0, 0, 0, 0, 0, 522, 0, 0, 11, 74, 607
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\version.ts", "TypeScript", 0, 0, 109, 0, 0, 0, 0, 0, 0, 22, 18, 149
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\什么？我要在玄幻修仙世界种田？.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\角色介绍.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 48
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田\项目总结和介绍.md", "Markdown", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 83
"k:\AiChat\tavern_helper_template\version.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"k:\AiChat\tavern_helper_template\vite.config.ts", "TypeScript", 0, 0, 101, 0, 0, 0, 0, 0, 0, 25, 11, 137
"k:\AiChat\tavern_helper_template\webpack.xuanhuan-0.config.ts", "TypeScript", 0, 0, 243, 0, 0, 0, 0, 0, 0, 0, 10, 253
"k:\AiChat\tavern_helper_template\初始模板\前端界面\导入到酒馆中\界面-实时修改.json", "JSON", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"k:\AiChat\tavern_helper_template\初始模板\前端界面\新建为src文件夹中的文件夹\index.html", "HTML", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"k:\AiChat\tavern_helper_template\初始模板\前端界面\新建为src文件夹中的文件夹\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"k:\AiChat\tavern_helper_template\初始模板\前端界面\新建为src文件夹中的文件夹\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"k:\AiChat\tavern_helper_template\初始模板\脚本\导入到酒馆中\脚本-实时修改.json", "JSON", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"k:\AiChat\tavern_helper_template\初始模板\脚本\新建为src文件夹中的文件夹\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 5263, 15, 13304, 5243, 14510, 1898, 14137, 112, 4139, 2438, 5728, 66787